BusID,BusName,LastRideH,LastRideM
52,Campus Loop,20,30
53,Reverse Loop,19,45
54,Student Center Express,21,05
55,Allerton Sport Complex,20,45
57,Stadium Loop,20,35
58,Stadium,20,50
59,Stadium Night Shuttle,21,30
